workload,variant,n_reps,ok,wall_s_min,wall_s_median,wall_s_max,user_s_median,sys_s_median,cpu_pct_median,max_rss_kb_median,page_faults_major_median,page_faults_minor_median,output_bytes_median,total_run_time_s_median,sequence_1_io_s_median,seed_position_table_s_median,sequence_2_io_s_median,seed_hit_search_s_median,chaining_s_median,gapped_extension_s_median,interpolation_s_median,output_s_median,total_query_time_s_median,ge_above_below_s_median,ge_left_right_s_median,ge_ydrop_align_s_median,ge_ydrop_one_sided_align_s_median,ge_update_lr_bounds_s_median,ge_next_sweep_seg_s_median,ge_prev_sweep_seg_s_median,ge_update_active_segs_s_median,ge_filter_active_segs_s_median
real.actb_chimp_vs_chimp,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,100,10164,0,15003,784,0.014,0.0,0.004,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real.actb_chimp_vs_fly,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,94,10040,0,15366,791,0.016,0.0,0.004,0.0,0.009,0.0,0.002,0.0,0.0,0.011,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0
real.actb_chimp_vs_human,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,100,10364,0,15020,806,0.016,0.0,0.004,0.0,0.009,0.0,0.002,0.0,0.0,0.011,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0
real.actb_fly_vs_chimp,sensitive,3,1,0.01,0.01,0.01,0.0,0.0,94,10308,0,15256,791,0.016,0.0,0.005,0.0,0.009,0.0,0.002,0.0,0.0,0.011,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0
real.actb_fly_vs_fly,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,93,10160,0,15220,786,0.014,0.0,0.005,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real.actb_fly_vs_human,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,94,10368,0,15214,783,0.016,0.0,0.005,0.0,0.009,0.0,0.002,0.0,0.0,0.011,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0
real.actb_human_vs_chimp,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,100,10276,0,15034,806,0.016,0.0,0.004,0.0,0.009,0.0,0.002,0.0,0.0,0.011,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0
real.actb_human_vs_fly,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,94,9936,0,15332,783,0.016,0.0,0.004,0.0,0.009,0.0,0.002,0.0,0.0,0.011,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0
real.actb_human_vs_human,sensitive,3,1,0.01,0.01,0.01,0.0,0.01,93,9948,0,14926,772,0.014,0.0,0.004,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
